StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q5,Q25_1,Q27_1,Q27_2,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q31,Q33_1,Q35_1,Q35_2,Q36,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q39,Q41_1,Q43_1,Q43_2,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q47,Q49_1,Q51_1,Q51_2,Q52,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q55,Q57
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,Do you have a mobile phone?,Please indicate your gender.,How old are you?,How do you assess this situation? - positive:negative,"How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services provided by this mobile phone provider are very valuable to me.","How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The mobile phone provider's services are very good compared to those of other mobile phone providers.","Overall, I consider the value of this mobile phone provider's services to be","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions relate to personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are exactly what I need.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions relate to personal opinions and experiences, there are no right or wrong answers. - I am very satisfied with the services provided by this mobile phone provider.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions relate to personal opinions and experiences, there are no right or wrong answers. - I am sure that choosing the services of this mobile phone provider was the right decision.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions relate to personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are the best I could get.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions relate to personal opinions and experiences, there are no right or wrong answers. - The services provided by this mobile phone provider have met all my expectations.",Please rate the following statements regarding the services of this mobile phone provider. - I would like to continue using the services of this mobile phone provider for many years to come.,Please rate the following statements regarding the services of this mobile phone provider. - The services offered by this mobile phone provider are and will remain my first choice.,"Please rate the following statements regarding the services of this mobile phone provider. - If I could get this mobile phone provider's services for free, I would choose them.",Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to people who seek my advice.,Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to my friends and relatives.,Please rate the following statements regarding the services of this mobile phone provider. - I encourage friends and relatives to purchase the services of this mobile phone provider.,Please rate the following statements regarding the services of this mobile phone provider. - I speak positively about this mobile phone provider's services in personal conversations.,Please rate the following statements regarding the services of this mobile phone provider. - I encourage friends and relatives to purchase the services of this mobile phone provider.,The likelihood that I will choose this mobile phone provider's services again is,How do you assess this situation? - positive:negative,"How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services provided by this mobile phone provider are very valuable to me.","How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The mobile phone provider's services are very good compared to those of other mobile phone providers.","Overall, the value of this mobile phone provider's services for me, is","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are exactly what I need.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - I am very satisfied with the services provided by this mobile phone provider.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - I am sure that choosing the services of this mobile phone provider was the right decision.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are the best I could get.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services provided by this mobile phone provider have met all my expectations.",Please rate the following statements regarding the services of this mobile phone provider. - I would like to continue using the services of this mobile phone provider for many years to come.,Please rate the following statements regarding the services of this mobile phone provider. - The services offered by this mobile phone provider are and will remain my first choice.,"Please rate the following statements regarding the services of this mobile phone provider. - If I could get this mobile phone provider's services for free, I would choose them.",Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to people who seek my advice.,Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to my friends and relatives.,Please rate the following statements regarding the services of this mobile phone provider. - I encourage friends and relatives to purchase the services of this mobile phone provider.,"Please rate the following statements regarding the services of this mobile phone provider. - I express positive opinions about this mobile phone provider's services in internet blogs, forums, etc.",Please rate the following statements regarding the services of this mobile phone provider. - I speak positively about the services of this mobile phone provider in personal conversations.,The likelihood that I will choose this mobile phone provider's services again is,How do you assess this situation? - positive:negative,"How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers - The services provided by this mobile phone provider are very valuable to me.","How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers - The mobile phone provider's services are very good compared to those of other mobile phone providers.","Overall, the value of this mobile phone provider's services for me, is","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are exactly what I need.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - I am very satisfied with the services provided by this mobile phone provider.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - I am sure that choosing the services of this mobile phone provider was the right decision.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are the best I could get.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services provided by this mobile phone provider have met all my expectations.",Please rate the following statements regarding the services of this mobile phone provider. - I would like to continue using the services of this mobile phone provider for many years to come.,Please rate the following statements regarding the services of this mobile phone provider. - The services offered by this mobile phone provider are and will remain my first choice.,"Please rate the following statements regarding the services of this mobile phone provider. - If I could get this mobile phone provider's services for free, I would choose them.",Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to people who seek my advice.,Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to my friends and relatives.,Please rate the following statements regarding the services of this mobile phone provider. - I encourage friends and relatives to purchase the services of this mobile phone provider.,"Please rate the following statements regarding the services of this mobile phone provider. - I express positive opinions about this mobile phone provider's services in internet blogs, forums, etc.",Please rate the following statements regarding the services of this mobile phone provider. - I speak positively about the services of this mobile phone provider in personal conversations.,The likelihood that I will choose this mobile phone provider's services again is,How do you assess this situation? - positive:negative,"How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services provided by this mobile phone provider are very valuable to me.","How satisfied are you with the services of this mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The mobile phone provider's services are very good compared to those of other mobile phone providers.","Overall, the value of this mobile phone provider's services for me, is","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are exactly what I need.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - I am very satisfied with the services provided by this mobile phone provider.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - I am sure that choosing the services of this mobile phone provider was the right decision.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services offered by this mobile phone provider are the best I could get.","How satisfied are you with the services provided by your mobile phone provider? You can rate your answers on a scale from “strongly disagree” to “strongly agree.” Since the questions concern personal opinions and experiences, there are no right or wrong answers. - The services provided by this mobile phone provider have met all my expectations.",Please rate the following statements regarding the services of this mobile phone provider. - I would like to continue using the services of this mobile phone provider for many years to come.,Please rate the following statements regarding the services of this mobile phone provider. - The services offered by this mobile phone provider are and will remain my first choice.,"Please rate the following statements regarding the services of this mobile phone provider. - If I could get this mobile phone provider's services for free, I would choose them.",Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to people who seek my advice.,Please rate the following statements regarding the services of this mobile phone provider. - I recommend the services of this mobile phone provider to my friends and relatives.,Please rate the following statements regarding the services of this mobile phone provider. - I encourage friends and relatives to purchase the services of this mobile phone provider.,"Please rate the following statements regarding the services of this mobile phone provider. - I express positive opinions about this mobile phone provider's services in internet blogs, forums, etc.",Please rate the following statements regarding the services of this mobile phone provider. - I speak positively about the services of this mobile phone provider in personal conversations.,The likelihood that I will choose this mobile phone provider's services again is,Do you want to see debriefing information?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID30_7""}","{""ImportId"":""QID30_8""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_6""}","{""ImportId"":""QID38_7""}","{""ImportId"":""QID38_8""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_5""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID46_5""}","{""ImportId"":""QID46_6""}","{""ImportId"":""QID46_7""}","{""ImportId"":""QID46_8""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_5""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID54_5""}","{""ImportId"":""QID54_6""}","{""ImportId"":""QID54_7""}","{""ImportId"":""QID54_8""}","{""ImportId"":""QID55""}","{""ImportId"":""QID57""}"
2025-11-10 09:03:48,2025-11-10 09:04:24,Survey Preview,,100,35,True,2025-11-10 09:04:25,R_2a7bYljzkH7bQDn,,,,,48.1875,16.355,preview,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-13 09:23:57,2025-11-13 09:25:01,Survey Preview,,100,63,True,2025-11-13 09:25:02,R_2Q45GfJvPOQmrdy,,,,,48.2372,16.3771,preview,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Yes
2025-11-13 09:26:29,2025-11-13 09:26:50,Survey Preview,,100,20,True,2025-11-13 09:26:51,R_26pdcPYrQwftTxL,,,,,48.2372,16.3771,preview,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
2025-11-13 09:32:35,2025-11-13 09:33:20,IP Address,62.178.238.227,100,45,True,2025-11-13 09:33:22,R_8DCjWDKlHkmmxtF,,,,,48.2372,16.3771,anonymous,DE,Yes,Prefer not to say,99,,,,,,,,,,,,,,,,,,,6,lehne völlig ab,lehne völlig ab,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-14 08:16:37,2025-11-14 08:17:40,IP Address,213.142.97.199,100,62,True,2025-11-14 08:17:41,R_2nZK5A3PaqAoRo5,,,,,48.1712,16.321,anonymous,DE,Yes,Female,22,,,,,,,,,,,,,,,,,,,4,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-14 14:41:41,2025-11-14 14:45:09,IP Address,62.218.164.126,100,208,True,2025-11-14 14:45:10,R_2tc1kSY7YfVs493,,,,,48.217,16.3944,anonymous,DE,Yes,Female,tes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,stimme völlig zu,stimme völlig zu,,5,5,6,5,5,6,6,6,6,6,6,6,6,2,Yes
2025-11-17 09:12:48,2025-11-17 09:15:03,IP Address,137.208.30.100,100,135,True,2025-11-17 09:15:03,R_2qIknQ8Y2OK3CN0,,,,,48.217,16.3944,anonymous,DE,Yes,Female,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,3,3,2,2,1,2,2,1,2,3,1,3,very low,Yes
2025-11-17 09:16:52,2025-11-17 09:20:57,IP Address,137.208.30.100,100,245,True,2025-11-17 09:20:58,R_2fIj4DnNccyWmiv,,,,,48.217,16.3944,anonymous,DE,Yes,Male,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,6,4,6,6,7,7,6,6,5,2,4,very high,,,,,,,,,,,,,,,,,,,Yes
